index,video_id,date_published,date_published_millis,year,month,day,duration,tags,title,views,Count,originalSentence,start,verse,valid,book,testament,bookIndex,chapterNum,verseNum,chapterStr,verseStr
0,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,3.599,,Faith That Won't Back Down,116,1,in psalms 24 they made it but i love,111.2,Psalms 24,True,Psalms,OLD,18,24,0,24,0
1,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,5.439,,Faith That Won't Back Down,116,1,the book of luke luke chapter 10,1909.12,Luke 10,True,Luke,NEW,41,10,0,10,0
2,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,3.6,,Faith That Won't Back Down,116,1,very familiar passage luke chapter 10,1912.24,Luke 10,True,Luke,NEW,41,10,0,10,0
3,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,5.6,,Faith That Won't Back Down,116,1,that belief you said in job 22 when men,2706.16,Job 22,True,Job,OLD,17,22,0,22,0
4,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.24,,Faith That Won't Back Down,116,1,kings second kings chapter six,2756.4,2 Kings 6,True,2 Kings,OLD,11,0,0,0,0
5,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,6.719,,Faith That Won't Back Down,116,1,amen second kings chapter 6 8-23 let's,2810.88,2 Kings 6,True,2 Kings,OLD,11,0,0,0,0
6,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.799,,Faith That Won't Back Down,116,1,let's get in this hebrews chapter 10 38,3633.52,Hebrews 10,True,Hebrews,NEW,57,10,0,10,0
7,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,3.6,,Faith That Won't Back Down,116,1,faith luke chapter 18 he says this he,3742.4,Luke 18,True,Luke,NEW,41,18,0,18,0
8,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,3.2,,Faith That Won't Back Down,116,1,you know i love that job 22. he says he,3819.68,Job 22,True,Job,OLD,17,22,0,22,0
9,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.32,,Faith That Won't Back Down,116,1,of first kings chapter six is where uh,5267.12,1 Kings 6,True,1 Kings,OLD,10,0,0,0,0
